Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Vibration (g),App message,
11.48877450000001,1650,,,,-0.0087890625,-0.0322265625,-0.9810546875,-0.0849665356527582,0.6127100946576914,15.788276370482567,6.419018308898589,7127,8316,101.34523493081873,73.99373071989497,73.01161640672568,0.00828056699597566,0.006045774153918479,1.2822265625,,
11.738020000000013,1650,,,,0.0388671875,0.0169921875,-1.00078125,-0.08512760202448164,0.6118830851932082,15.78825944502493,6.426940485460408,7128,8316,101.47020410782929,74.1374717424118,73.0633167629464,0.008253369606140084,0.006030183946334678,1.236328125,,
11.988530000000006,1650,,,,0.034375,-0.0275390625,-0.9927734375,-0.08499482728547889,0.6123115670622872,15.789538723430383,6.41814727635212,7127,8313,101.33958407373485,73.99426115604201,73.01617456691173,0.008275129300886901,0.006042177908446323,1.213671875,,
12.2386375,1650,,,,0.0298828125,-0.038671875,-0.9841796875,-0.08482675309890061,0.6114576541998654,15.790108694886928,6.413608329124267,7124,8312,101.27156930942394,73.83735172280582,72.9103289543263,0.008281155862679804,0.006037810742166789,1.2685546875,,
12.489653499999998,1650,,,,-0.001171875,0.036328125,-0.98359375,-0.08475450464720183,0.6106404734363949,15.78900764051873,6.414668041237377,7126,8313,101.28124297877312,73.78264951594764,72.84930297940178,0.008276207677206061,0.006029159226621556,1.2865234375,,
12.739273,1650,,,,0.025,-0.0119140625,-0.96796875,-0.08488859873085189,0.6106211435166429,15.788008285688699,6.428490973907488,7135,8323,101.49306146437576,73.98694812438949,72.8987070435589,0.008253113998872259,0.006016411093309488,1.3265625,,
12.988646000000008,1650,,,,0.02265625,-0.008984375,-0.9931640625,-0.0847437591309996,0.60970635750352,15.79006119609225,6.4094092481073845,7125,8313,101.20496162691758,73.77043652798687,72.89215770867489,0.008264935694668407,0.006024476802598154,1.3927734375,,
13.260997000000014,1650,,,,0.0041015625,0.008203125,-0.9712890625,-0.08443166432487711,0.6086919375282956,15.789596569266347,6.4029695962394655,7133,8321,101.10031087416755,73.57143259420359,72.7710780454571,0.008273489551574753,0.006020705845145339,1.4517578125,,
13.51353600000001,1650,,,,-0.0064453125,-0.0142578125,-0.98046875,-0.08441835207413775,0.6081822059626223,15.790238921931637,6.38162319972204,7125,8311,100.76735429895709,73.47585074472862,72.91639564899492,0.00827731684269788,0.006035513488557959,1.53203125,,
13.763528000000017,1260,,,,0.0990234375,-0.0591796875,-0.95625,-0.08429473884719325,0.60758662225982,15.80331920530945,6.074550729966514,6987,8221,95.98244872712385,72.57304527982052,76.31403994183897,0.008378432030461236,0.006409503186436409,1.4837890625,,
14.013507000000008,1000,,,,0.069140625,-0.00234375,-1.0603515625,-0.07571016912200325,0.5760091678480241,15.970834640480987,2.099407676427717,4555,5414,33.49211958161205,43.50380383535237,141.99348749970846,0.013855953295700251,0.020147936277954342,1.3166015625,,
14.263501500000014,1000,,,,0.0142578125,-0.002734375,-1.007421875,-0.023771289817141196,0.33595480501158104,16.044078526388198,0.4376341268639378,2828,3359,7.01976587171451,8.622786539388695,124.52602476661824,0.04481281098668622,0.052969133364615374,1.069140625,,
14.5151445,1000,,,,0.0025390625,0.02890625,-1.0181640625,-0.007789165802504383,0.14437457296273393,16.059979820024562,0.0889827526282763,2014,2399,1.4289826053939125,2.016402850605255,144.2798190093887,0.048112041439364414,0.03313288066575078,0.8337890625,,
14.763323000000014,1000,,,,0.005859375,-0.0041015625,-0.9767578125,-0.0038445710999172058,0.06995287688862778,16.063359563870982,0.016751410003222843,1523,1820,0.26908092845585235,0.7369954382544146,325.2664758741879,0.04852977630065548,0,0.632421875,,
15.013388,1000,,,,0,0.0201171875,-0.9806640625,-0.003367544904021456,0.03729130975294288,16.064075695214385,0.0028685463186658654,1188,1424,0.04615608291319645,0.5020901239517153,999.2653765559666,0.07385891662571746,0,0.4837890625,,
15.263408000000004,1000,,,,0.01640625,0.0046875,-0.971875,-0.0034046765829722505,0.021474716634595235,16.063521860638552,-0.00178493005131517,1030,1129,0.02854195424403915,0.4023950620809182,1149.2098520322588,0.053146193695934985,0,0.3724609375,,
15.516079500000004,1000,,,,0.009375,0.0107421875,-0.9826171875,-0.003472215854750512,0.014040707862803772,16.06360979754024,-0.0013423327123133876,987,1146,0.02042158810662279,0.41779130699665423,1084.6782429813286,0.03619221497930149,0,0.2826171875,,
15.764527500000009,1000,,,,0.0138671875,0.0111328125,-0.9826171875,-0.0036349510516685605,0.011217778462829831,16.06382365183744,-0.001110432787006088,0,960,0.01628167222944147,0.3635693263100043,1633.0066212046127,0.033927124721599,0,0.2181640625,,
16.013781500000004,1000,,,,0.0140625,0.01328125,-0.98984375,-0.003704599843368932,0.009805198806860312,16.06391912373286,-0.002820359202074796,0,561,0.04530610337504982,0.2176776789822253,545.8753476887845,0.04519653376019694,0,0.175,,
16.269989000000017,1000,,,,0.0158203125,0.010546875,-0.9767578125,-0.0037504004901516438,0.007918213739089996,16.063996290541354,-0.002088991902317172,0,438,0.03298906686770703,0.1719931316927896,364.39215841701207,0.04619505361790433,0,0.14765625,,
16.51448449999999,1000,,,,0.01875,0.0064453125,-0.9822265625,-0.0038992540604561405,0.006932377918327596,16.06427416907492,-0.0012535113170415002,0,333,0.018604718822150628,0.1359004107906455,543.4728911694232,0.05163932522686968,0,0.13203125,,
16.766017000000005,1000,,,,0.01875,0.002734375,-0.9833984375,-0.004070279124288434,0.006090048109976937,16.06397227341929,-0.002918870541243246,0,161,0.046888740634034795,0.06820444158578047,168.11770747291365,0.02532779264907724,0,0.1390625,,
17.014981500000005,1000,,,,0.0103515625,0.0228515625,-0.98359375,-0.004651497170863551,0.005514782633396923,16.064241296937862,-0.0031031831677998944,0,0,0.04985019306400991,0,0,0,0,0.1234375,,
17.26367050000001,1000,,,,0.0009765625,0.0322265625,-0.9802734375,-0.004992577305029702,0.005528810902148346,16.06413859364259,-0.001389711058501275,0,0,0.022271860616185968,0,0,0,0,0.10625,,
17.513776000000007,1000,,,,0,0.0447265625,-0.9921875,-0.005218187198555269,0.005246791703630094,16.064266865794643,-0.0005843715169100872,0,0,0.008668757979744592,0,0,0,0,0.091796875,,
17.763905500000007,1000,,,,0,0.0466796875,-0.9951171875,-0.005438772264783662,0.005091174691887182,16.063915229265106,-0.0018027169251960905,0,0,0.028958757173529154,0,0,0,0,0.0814453125,,
18.013720999999997,1000,,,,0,0.0470703125,-0.9939453125,-0.005460306437172559,0.005259401598381857,16.06424243508189,-0.002426644652634291,0,0,0.03898225167154541,0,0,0,0,0.073828125,,
18.264092000000005,1000,,,,0,0.0466796875,-0.9943359375,-0.005504654573950532,0.005457926435738765,16.06428003656062,-0.0030235935163888785,0,0,0.04857196120027963,0,0,0,0,0.06875,,
18.51378300000001,1000,,,,0,0.047265625,-0.9939453125,-0.005677178760032119,0.005441463886560377,16.064518787974755,-0.0022689918886090953,0,0,0.036450295916477,0,0,0,0,0.065234375,,
